num_rows;id;name;host_id;host_name;neighbourhood;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
1985;2615971;Luxury Apartment in Piazza Navona;13397397;Giulia;I Centro Storico;Entire home/apt;180;4.0;8;02/11/2021;0.09;1.0;169.0;1
1986;2616066;Penthouse with Sunny 360 panoramic View Terrace;4411895;Giusi;I Centro Storico;Entire home/apt;150;2.0;85;05/11/2021;0.91;2.0;140.0;4
1988;2616929;Piazza Navona Red House;6353687;Flora&Luca;I Centro Storico;Entire home/apt;65;3.0;129;21/11/2021;1.41;4.0;265.0;14
1989;2617530;Le stanze di Via Gallia  1 B&B Roma;13330603;Lucia;VII San Giovanni/Cinecittà;Private room;60;4.0;20;22/03/2019;0.22;2.0;209.0;0
1990;2624500;Peppe's House;13407301;Raffaella;XII Monte Verde;Entire home/apt;43;21.0;10;03/07/2019;0.12;1.0;340.0;0
1991;2626180;Colisseum charming flat (2-6pax);3504;Laura;I Centro Storico;Entire home/apt;125;6.0;3;27/07/2017;0.03;7.0;296.0;0
1992;2626374;City-center comfortable 70 sq place;13450992;Marco;II Parioli/Nomentano;Entire home/apt;54;4.0;18;07/12/2017;0.19;2.0;348.0;0
1993;2627412;Trastevere amazing terrace 2BR Apt;1107433;Emiliano & Maria;I Centro Storico;Entire home/apt;126;3.0;46;05/12/2017;0.50;56.0;0.0;0
1994;2629619;AL 171 Sweet Holiday Apartments;13470526;Sergio C;II Parioli/Nomentano;Entire home/apt;45;2.0;14;02/07/2019;0.15;7.0;99.0;0
1995;2635029;Mecenate Dreams Apartment;11591111;Cecilia & Federico;I Centro Storico;Entire home/apt;120;1.0;142;19/02/2020;1.54;1.0;251.0;0
1996;2637045;B&B La Nave - Ostia Antica (Next To Airport);9086833;Paola;X Ostia/Acilia;Private room;35;1.0;260;09/12/2019;2.79;2.0;339.0;0
1997;2638759;Caldo ed elegante appartamento vicino alla Basilica di San Pietro;12759072;Maurizio;XIII Aurelia;Entire home/apt;101;3.0;42;03/10/2021;0.70;4.0;118.0;3
1998;2639914;Double bedroom in east area of Rome;8406348;Gianluca;VI Roma delle Torri;Private room;27;1.0;3;01/05/2019;0.03;1.0;89.0;0
1999;2640966;Independent room in Rome Esquilino;12696181;Fabio;I Centro Storico;Private room;59;2.0;275;22/11/2021;2.96;1.0;168.0;8
2000;2648049;Private bathroom/Homemade breakfast;6598095;Francesco;II Parioli/Nomentano;Private room;39;3.0;114;02/10/2016;1.38;1.0;130.0;0
2001;2648226;LAURINA F1;12982157;Locappart;I Centro Storico;Entire home/apt;93;2.0;43;16/11/2021;0.57;11.0;340.0;9
2002;2648436;Appartamento Elegante Vicino a Vaticano e Piazza Navona;712288;Jimmy;I Centro Storico;Entire home/apt;169;3.0;125;21/11/2021;1.36;13.0;285.0;11
2003;2648539;LAURINA F2;12982157;Locappart;I Centro Storico;Entire home/apt;68;2.0;47;14/11/2021;0.62;11.0;338.0;15
2004;2649694;LAURINA F3;12982157;Locappart;I Centro Storico;Entire home/apt;105;3.0;15;30/08/2021;0.22;11.0;346.0;4
2005;2649991;Luxury Apt in TRASTEVERE [up to 4];9413941;Gina;I Centro Storico;Entire home/apt;64;2.0;45;19/10/2020;0.49;3.0;1.0;0
2006;2651544;Monti-Colosseo;1670144;Luca;I Centro Storico;Entire home/apt;32;2.0;361;08/11/2021;3.92;6.0;216.0;22
2007;2659731;Private room S. Paolo Basilicata;13612713;Jiajia;VIII Appia Antica;Private room;25;4.0;2;30/05/2015;0.02;4.0;342.0;0
2008;2661482;Hearth of Rome spacious luxurious apartment;6207998;Anna;I Centro Storico;Entire home/apt;100;2.0;73;19/10/2021;0.79;1.0;311.0;6
2009;2664073;Masemo's Place;13349261;Masemo;III Monte Sacro;Entire home/apt;500;3.0;34;17/09/2017;0.37;2.0;252.0;0
2010;2672762;Montebello Apt - Termini Station;13626755;Giulio;I Centro Storico;Entire home/apt;110;2.0;2;28/05/2014;0.02;5.0;193.0;0
2011;2673449;Cathy Apt - Molto Centrale;13626755;Giulio;II Parioli/Nomentano;Entire home/apt;80;2.0;5;30/04/2019;0.08;5.0;293.0;0
2012;2674658;Very quiet, handy and clean;13693991;Fabio;I Centro Storico;Entire home/apt;72;3.0;223;16/11/2021;2.39;2.0;167.0;15
2013;2678004;Appartamento di design a Trastevere con terrazzo privato e vista spettacolare;1764914;Marzia;I Centro Storico;Entire home/apt;223;2.0;239;24/11/2021;2.59;25.0;198.0;21
2014;2679706;This place is perfect for me;13693991;Fabio;I Centro Storico;Entire home/apt;63;3.0;235;23/11/2021;2.52;2.0;170.0;15
2015;2682112;Thebestinrome Orbitelli;13730949;Cargese;I Centro Storico;Entire home/apt;112;3.0;71;29/11/2021;0.76;10.0;309.0;19
2016;2684361;B&B Rome Click Home 2;12526944;Marco;IV Tiburtina;Private room;37;2.0;121;07/11/2021;1.33;3.0;360.0;6
2017;2684363;B&B Rome Click Home 4;12526944;Marco;IV Tiburtina;Private room;35;2.0;144;10/11/2021;1.57;3.0;350.0;14
2018;2685408;Multicolored Home - Colosseum & Termini in 10 mins;13746240;Josette And Nino;I Centro Storico;Entire home/apt;99;3.0;93;02/12/2019;1.01;5.0;99.0;0
2019;2688928;Luminous New Apartment in Rome’s Historical Centre;11678136;Carmen Anttigona;I Centro Storico;Entire home/apt;90;2.0;327;26/11/2021;3.71;3.0;350.0;12
2020;2689369;S.Giovanni industyle Flat-WIFI;13630904;Lorenzo;VII San Giovanni/Cinecittà;Entire home/apt;70;2.0;36;12/04/2019;0.39;1.0;361.0;0
2021;2689680;Esquilino-Monti Flat;13767590;Lino & Ludo;I Centro Storico;Entire home/apt;120;2.0;153;29/02/2020;1.64;1.0;192.0;0
2022;2689882;Rome Vatican 20  minutes walking distance;13768494;Cinzia;XIV Monte Mario;Entire home/apt;70;2.0;84;01/01/2020;0.91;1.0;311.0;0
2023;2690471;New Comfortable, great for families;3376235;Paolo & Lucy;VIII Appia Antica;Entire home/apt;90;3.0;54;26/07/2017;0.58;2.0;283.0;0
2024;2690779;Passion Suite-Central-Private Bathr;13563752;Martina & Walter;VIII Appia Antica;Hotel room;48;1.0;20;22/05/2018;0.22;5.0;312.0;0
2025;2691074;Centro Storico Piazza Navona Air Condition;1435554;Daniele;I Centro Storico;Entire home/apt;150;1.0;75;17/01/2020;0.83;1.0;9.0;0
2026;2692393;Marcello Apartment;82468112;Livia;II Parioli/Nomentano;Entire home/apt;110;3.0;59;31/08/2021;0.65;3.0;230.0;2
2027;2692402;Roma City Centre - SPECIAL OFFER!!!;13779433;Flavio;I Centro Storico;Entire home/apt;80;2.0;181;28/01/2020;1.95;1.0;35.0;0
2028;2692456;Casa Poerio: elegant and quiet apartment for 2.;13779627;Stefano;XII Monte Verde;Entire home/apt;78;60.0;8;06/11/2020;0.09;1.0;283.0;0
2029;2693637;In the heart of Rome !!! Room2 WIFI;13396604;Amira;I Centro Storico;Hotel room;43;1.0;390;05/12/2021;4.71;4.0;359.0;53
2030;2693774;In the heart of Rome !!! Room3 WIFI;13396604;Amira;I Centro Storico;Hotel room;44;1.0;327;05/12/2021;3.87;4.0;361.0;37
2031;2697016;Ostia lido Delizioso Appartamento;13803779;Germano;X Ostia/Acilia;Entire home/apt;90;3.0;13;04/03/2018;0.16;1.0;0.0;0
2032;2699893;Apartment Testaccio;6996488;Raffaella;I Centro Storico;Entire home/apt;95;3.0;73;14/02/2020;0.78;1.0;252.0;0
2033;2700877;Easy In Rome Navona 2;13820904;Claudia;I Centro Storico;Entire home/apt;165;1.0;13;01/12/2019;0.17;3.0;161.0;0
2034;2701057;Exclusive Apartment Termini;11678136;Carmen Anttigona;I Centro Storico;Entire home/apt;110;2.0;336;28/11/2021;3.61;3.0;355.0;3
2035;2701366;Roman Forum apartment;13823688;Marco;I Centro Storico;Entire home/apt;88;2.0;408;05/12/2021;4.38;1.0;319.0;24
2036;2704200;Marchese - Castello del Duca;12981300;Joseph;III Monte Sacro;Entire home/apt;41;2.0;52;28/10/2021;0.57;7.0;139.0;8
2037;2704627;Attico Private House Ponte Milvio;9571761;Paolo;XV Cassia/Flaminia;Entire home/apt;165;3.0;6;19/05/2019;0.06;1.0;357.0;0
2038;2706676;Attico con terrazza per famiglie;5012963;Michela;III Monte Sacro;Entire home/apt;110;4.0;1;14/07/2014;0.01;1.0;0.0;0
2039;2706974;Colosseo's door;13632707;Federico;I Centro Storico;Entire home/apt;62;2.0;470;04/12/2021;5.04;3.0;287.0;55
2040;2707485;Benny's Home Rome;13855521;Benedetta;VIII Appia Antica;Entire home/apt;75;2.0;225;09/11/2021;2.43;1.0;343.0;6
