id;name;host_id;zone_id;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;availability_365;number_of_reviews_ltm
46310572;Il panorama di San Pietro;266527891;11;Entire home/apt;41;1.0;38;01/12/2021;7.17;352.0;38
46324846;Casa del Principe;374963138;1;Entire home/apt;69;2.0;18;07/12/2021;3.58;208.0;18
46325012;Da Bea a San Pietro in Via delle Fornaci 139;374964000;11;Entire home/apt;83;2.0;1;16/11/2021;1.0;169.0;1
46326630;TATA'S HOME Villa Borghese appartament;14643879;3;Entire home/apt;99;2.0;9;28/11/2021;0.96;331.0;9
46328101;METRO POLICLINICO CAMERA DELUXE E SERVIZI  PRIVATI;16314221;3;Private room;25;6.0;2;10/07/2021;0.21;51.0;2
46336745;Domotica  tranquilla e terrazzo interno;371285053;2;Private room;20;2.0;1;07/10/2021;0.47;261.0;1
46344805;RASELLA ENERGIE APARTMENT;237997404;1;Entire home/apt;64;3.0;2;03/07/2021;0.32;56.0;2
46392112;Trevi Fountain,Sofia room with private bathroom;141856258;1;Private room;58;1.0;31;24/11/2021;6.16;136.0;31
46394707;Cozy Flat at Navona Square FAMM Apartments;370017702;1;Entire home/apt;99;2.0;16;05/12/2021;3.64;343.0;16
46397441;NEW OPENING. Campo dei Fiori  Penthouse balcony;51503378;1;Entire home/apt;119;1.0;1;17/07/2021;0.21;334.0;1
46408341;Casamia2(matrimoniale con Bagno privato);373362061;1;Private room;38;1.0;30;22/11/2021;4.48;25.0;30
46413443;Piazza Navona Brand New Romantic Apt;276894;1;Entire home/apt;109;3.0;2;21/11/2021;0.38;222.0;2
46414028;ATRHOME Loft Studio Canova;181478924;1;Entire home/apt;150;1.0;5;28/11/2021;1.11;355.0;5
46425196;HOTEL FELLINI a FONTANA DI TREVI - CAMERA TRIPLA;244541787;1;Private room;92;1.0;2;28/08/2021;0.55;260.0;2
46426176;HOTEL FELLINI CAMERA DOPPIA CON TERRAZZO PANORAMIC;244541787;1;Private room;92;1.0;1;02/07/2021;0.19;260.0;1
46426580;Atelier d‘artiste 5 minutes à pied de Place Navona;11146507;1;Entire home/apt;65;1.0;24;11/11/2021;3.96;333.0;24
46441624;Le Api1 Elegant vacation home in the heart of Rome;23451945;1;Entire home/apt;70;1.0;11;21/11/2021;2.28;350.0;11
46442662;Colosseo central apartment;137310791;1;Entire home/apt;70;2.0;8;11/09/2021;1.82;145.0;8
46447559;Loft Parioli;131509277;3;Entire home/apt;90;1.0;1;01/11/2021;0.77;358.0;1
46457288;La Porta sul Vaticano : stile nell' accoglienza;372890331;1;Entire home/apt;89;3.0;24;06/12/2021;1.97;295.0;24
46462131;Le Api 2 eleganza nella storia e nel cuore di Roma;23451945;1;Entire home/apt;79;1.0;3;17/10/2021;0.69;355.0;3
46462557;Luxury Modern Quiet Apartment in Rome near Vatican;106742690;13;Entire home/apt;110;3.0;12;27/11/2021;1.07;340.0;12
46463020;TRASTEVERE LUXURY LARGE APARTMENT☆☆☆☆☆;53701524;1;Entire home/apt;153;2.0;9;23/10/2021;1.68;164.0;9
46484021;The GREY ROOM x2 Guest House Sallustiano;96122546;1;Private room;68;2.0;2;23/07/2021;0.4;0.0;2
46487211;Wonderful and Cozy Home - Intero appartamento -;163909616;5;Entire home/apt;39;2.0;13;05/12/2021;3.15;320.0;13
46489067;RomeAsYouLike - Ripetta Apartment 155;284478805;1;Entire home/apt;101;3.0;27;08/12/2021;5.13;298.0;27
46491216;LOQUAT HOUSE nel giardino segreto in zona Vaticano;16978129;1;Entire home/apt;100;2.0;1;02/01/2021;0.09;328.0;1
